TITRE,AUTEUR,DATE,contenu
"Mme Muriel LIENAU, jusqu'ici présidente de Nestlé France et ""Head of Nestlé Waters Europe"", est promue directrice de la nouvelle division Eaux et boissons haut de gamme de Nestlé",Non cité,2024-01-01,"Mme Muriel LIENAU, jusqu'ici présidente de Nestlé France et ""Head of Nestlé Waters Europe"", est promue directrice de la nouvelle division Eaux et boissons haut de gamme de Nestlé Mme Muriel LIENAU, jusqu'ici présidente de Nestlé France et ""Head of Nestlé Waters Europe"", est promue directrice de la nouvelle division Eaux et boissons haut de gamme de Nestlé L'activité d'eaux en bouteille de Nestlé, sous pression depuis les révélations concernant des traitements interdits appliqués aux eaux minérales, est de nouveau au coeur d'une grande réorganisation, lancée par le nouveau directeur général qui doit redorer les résultats du groupe. Une des premières décisions du Français Laurent FREIXE, qui a pris les commandes de Nestlé le 1er septembre (cf. CE du 23/08/2024) à la suite de l'éviction de son prédécesseur, a été d'annoncer une revue stratégique de cette activité qui a généré un chiffre d'affaires de 3,3 milliards de francs suisses (3,5 milliards d'euros) en 2023. A compter du 1er janvier 2025, les activités dans le domaine ""des eaux et des boissons haut de gamme"" de Nestlé vont être ""regroupées dans une entité commerciale mondiale distincte. Sa direction va être confiée à la Française Muriel LIENAU, ancienne directrice du marketing et des ventes de Nestlé Waters, ancienne directrice générale de Nestlé Waters chargée de la région EMENA, jusqu'ici présidente de Nestlé France et ""Head of Nestlé Waters Europe"". Elle aura pour mission d'""évaluer la stratégie"" de cette activité, notamment en ""explorant les possibilités de partenariat"" des marques. Diplômée de l'ESCP, Mme Muriel LIENAU démarra sa carrière chez Nestlé en 1991 comme responsable de marque pour les chocolats en Allemagne. Elle fut ensuite responsable marketing pour l'Allemagne chez Cereal Partners Worlwide-CPW (1995-1999), coentreprise entre General Mills et Nestlé créée en 1991 pour produire des céréales pour petit déjeuner, et directrice du marketing de Nestlé Allemagne (2004-2007). De retour en France, elle fut directrice du développement de la catégorie boisson de Nestlé France (2007-2015) et directrice du marketing et des ventes de Nestlé Waters (2015-2018). Elle s'expatria alors à nouveau pour devenir directrice générale de Nestlé Suisse (2018-2019). De 2020 à 2023, elle fut directrice générale de Nestlé Waters chargée de la région EMENA (Europe, Moyen-Orient, Afrique du Nord). Depuis mars 2023, Mme Muriel LIENAU était présidente de Nestlé France, ""Head of Nestlé Waters Europe"". ""Cela va prendre un petit peu de temps, mais nous sommes en train de créer des options pour l'avenir"", avait déclaré M. FREIXE lors d'une conférence pour les investisseurs fin novembre durant laquelle il dévoilait ses projets pour redresser les ventes du groupe. Son prédécesseur, l'Allemand Mark SCHNEIDER, avait lui aussi réorganisé les activités d'eaux en 2020 et élagué le portefeuille, notamment en vendant plusieurs marques locales en Amérique du Nord aux fonds One Rock Capital Partners et Metropoulos & Co en 2021 pour 4,3 milliards de dollars. Il avait ainsi voulu recentrer le portefeuille sur les plus grandes marques, qui englobent S. Pellegrino, Perrier et Acqua Panna, répondant en partie aux critiques d'investisseurs qui pointent du doigt le fait que l'eau est en perte de vitesse depuis plusieurs années. L'eau en bouteille était en forte croissance lorsque Nestlé a racheté la marque française Perrier en 1992. Mais les habitudes de consommation ont peu à peu changé, notamment face aux critiques concernant le plastique à usage unique. En 2023, l'eau était la plus petite activité de Nestlé. Elle ne représentait que 3,6 % de son chiffre d'affaires au niveau mondial, très loin derrière le café et boissons en poudre (dont Nesquik et Milo) qui contribuent à plus du quart de ses ventes ou les produits pour animaux de compagnie qui dépassent 20 % du chiffre d'affaires. L'eau est de surcroît l'activité qui a essuyé la plus forte baisse de ses ventes en volumes l'an passé, en recul de 5,1 % sur un an. Et sur les neuf mois de 2024, leurs volumes de ventes ont encore fléchi de 0,8 % sur fond de scandale concernant des traitements appliqués en France et en Suisse. En janvier 2024, une enquête de Radio France et du quotidien ""Le Monde"" avait révelé que des producteurs d'eaux en bouteille, dont Nestlé, avaient utilisé des techniques de purification autorisées pour l'eau du robinet mais interdites pour les eaux minérales naturelles ou eaux de source, qui doivent être naturellement pures. L'ARS d'Occitanie suggère d'envisager un arrêt de la production d'eau minérale Perrier L'agence régionale de santé (ARS) d'Occitanie a invité en août Nestlé Waters à ""s'interroger"" sur un autre ""usage alimentaire"" de son site de conditionnement de Perrier, selon de nouvelles révélations hier de Radio France et du ""Monde"". La filiale française du groupe suisse fait depuis janvier l'objet d'une polémique concernant son usage, par le passé, de traitements de désinfection de ses eaux minérales, qui ne sont pas dangereux mais interdits pour les eaux minérales, qui doivent avoir une qualité naturelle qui permet de s'en passer. Ces conditions sont de moins en moins réunies sur les sites de production d'eau minérale de Nestlé Waters, qui avait dû cesser d'exploiter en avril un de ses forages de son site de conditionnement de Perrier, à Vergèze dans le Gard après la découverte de bactéries d'origine fécale. Dans un rapport daté d'août, cité par Radio France et ""Le Monde"", l'ARS d'Occitanie a jugé que ces ""contaminations bactériennes"", bien que ""ponctuelles"", sont ""inacceptables pour une eau minérale naturelle"". Elle a ""invité"" Nestlé Waters à ""s'interroger stratégiquement sur un autre usage alimentaire possible de l'exploitation des captages d'eau minérale actuels"", rapportent les deux médias. Par exemple, Nestlé Waters possède la marque Maison Perrier, qui ne bénéficie pas de l'appellation d'eau minérale et peut donc faire l'objet de traitements de désinfection. Selon les deux médias, l'ARS Occitanie a conclu en août que l'usage de certains traitements non autorisés, qui incluent les lampes UV et les filtres à charbon, a bien cessé sur le site de Vergèze. En revanche, elle a estimé que la microfiltration, dont la réglementation a été assouplie par le gouvernement en 2023, n'est ""pas réglementaire"" en ce qu'elle a un ""effet désinfectant avéré"". Le rapport a également fait mention d'un ""risque virologique"", les microfiltres n'ayant pas ""d'effet de rétention sur les virus"", selon Radio France et ""le Monde"". ""Nous opérons le site de Vergèze conformément au cadre fixé par les autorités et sous leur contrôle"", a réagi Nestlé Waters, qui ne souhaite pas commenter le rapport avant sa version finale. Le sénateur socialiste de l'Oise Alexandre OUIZILLE, rapporteur de la commission d'enquête sénatoriale sur les eaux en bouteille, concernant notamment les pratiques des industriels de l'eau, a évoqué hier un rapport ""accablant pour"" Nestlé Waters, ""mais aussi pour le gouvernement Borne, qui a validé un plan de transformation qui reste (...) illégal"". Nestlé Waters compte notamment les marques françaises Perrier, Vittel, Contrex, Hépar, italienne San Pellegrino et européenne Aquarel."
Nestlé Waters : des associations dénoncent un accord avec la justice,Latribune.fr,2024-09-11,"Des associations sont montées au créneau ce lundi contre la conclusion d'une Convention judiciaire d'intérêt public (CJIP) entre le parquet d'Épinal et Nestlé Waters. Ce dispositif transactionnel mettrait fin à deux procédures pénales ouvertes contre le géant de l'agroalimentaire. D'après le collectif Eau88 et l'association Vosges Nature Environnement (VNE), la CJIP porte sur deux enquêtes préliminaires visant la multinationale, l'une concernant de potentiels forages illégaux dans la nappe phréatique, l'autre sur des traitements interdits que Nestlé a reconnu avoir mis en place pour ses eaux minérales. Pour rappel, une CJIP permet d'imposer le versement d'une amende et/ou la conduite d'un programme de mise en conformité, ainsi que la réparation d'un préjudice. Mais elle n'a « ni la nature ni les effets d'un jugement de condamnation », et « n'emporte pas déclaration de culpabilité », précise le Code de procédure pénale. La CJIP « équivaudrait à mettre l'affaire sous le tapis » Sollicité sur le contenu de cette convention, le parquet d'Épinal n'a pas répondu. La CJIP doit être homologuée par le tribunal lors d'une audience ce mardi. Les associations VNE, Foodwatch et Eau88, auteures de plaintes contre Nestlé, ont été invitées à chiffrer leur préjudice mais dénoncent la solution retenue. « Cette convention « équivaudrait à mettre l'affaire sous le tapis et permettre aux responsables de Nestlé Waters de s'en sortir sans autre explication ni conséquence que le versement d'une somme d'argent », indique Foodwatch, appelant au rejet de l'homologation. » Lire aussiAlimentation : le Français Laurent Freixe prend les reines du géant Nestlé (lien : https://www.latribune.fr/entreprises-finance/industrie/agroalimentaire-biens-de-consommation-luxe/alimentation-le-francais-laurent-freixe-prend-les-reines-du-geant-nestle-1004636.html) D'après l'avocat de l'association, François Lafforgue, les infractions « réprimées par le Code de la santé publique et par le Code de la consommation, dont la tromperie, ne peuvent faire l'objet d'une CJIP, qui ne peut porter que sur des infractions prévues et réprimées par le Code de l'environnement ». « La disposition est un peu scélérate, elle permet aux gens qui ont de l'argent d'échapper à un jugement et à un casier judiciaire », déplore Bernard Schmitt, du collectif Eau88, qui avait porté plainte dès 2020 sur de potentiels forages illégaux. « Mais en l'absence de convention, « comme Nestlé a des avocats et beaucoup de moyens, que la justice a peu de moyens, on va se retrouver cinq à dix ans plus tard avec des délits que tout le monde aura oublié et une sanction ridicule... Donc qu'est ce qu'on fait? ». » « Sept ou huit ans » sans la convention « C'est une potion amère qu'on avale. L'outil est loin d'être parfait, mais permet, en termes d'environnement, d'avoir une réponse plus rapide », tempère François Zind, avocat de Eau88. « Nous avons exigé qu'il y ait, dans la convention, une étude d'impact sur les quantités d'eau dans les nappes et l'impact » de l'activité de Nestlé, complète-t-il. Sans la convention, « on en aurait pour sept ou huit ans comme savent le faire les multinationales, et ce temps-là on ne l'a plus par rapport à l'urgence climatique et à ce qu'on pense être une surexploitation de la ressource ». Lire aussiScandale des pizzas Buitoni : Nestlé France mis en examen (lien : https://www.latribune.fr/entreprises-finance/industrie/agroalimentaire-biens-de-consommation-luxe/scandale-des-pizzas-buitoni-nestle-france-mis-en-examen-1001535.html) « C'est révélateur d'une justice qui fonctionne mal. Si la justice avait les moyens de fonctionner, on devrait avoir un procès en bonne et due forme », estime Jean-François Fleck, de VNE. L'association a néanmoins répondu à la demande d'estimation de son préjudice : « On pourrait refuser de s'inscrire dans cette procédure, mais alors elle se ferait sans nous, il y aurait encore moins de conséquences pour Nestlé ». En septembre 2022, Nestlé avait déjà signé une CJIP avec le procureur de Charleville-Mézières, après la pollution en 2020 de la rivière Aisne, causant la mort d'environ six tonnes de poissons. Tout en contestant que son usine de Challerange (Ardennes) soit à l'origine de la pollution, malgré les constatations des gendarmes et de l'Office Français de la biodiversité, la multinationale avait accepté une amende de 40.000 euros. Exploitation de forages sans autorisation et tromperie Pour mémoire, Nestlé Waters est visé par une enquête pour exploitation de forages sans autorisation, a indiqué le 23 juillet le procureur d'Épinal. Mediapart assure que Nestlé Waters a exploité des forages pour prélever de l'eau et la vendre de manière illégale, sans autorisation, entre 1992 et 2019. Cela pourrait représenter, sur les 20 dernières années de pratique, plus de 19 milliards de litres d'eau, selon le média d'investigation, qui cite un rapport des agents de l'Office français de la biodiversité rendu au procureur de la République dans le cadre de cette enquête. Le groupe est aussi visé par une autre enquête préliminaire ouverte par le parquet d'Épinal pour tromperie, soupçonné d'avoir eu recours à des traitements illégaux pour purifier ses eaux vendues comme eaux minérales naturelles. Fin janvier, Nestlé Waters avait reconnu avoir recouru à des systèmes de désinfection interdits (lampe UV, charbon actif) pour maintenir la « sécurité alimentaire » de ses eaux des Vosges. Le 18 juillet, Mediapart avait assuré que Nestlé Waters avait eu recours à des traitements interdits pour ses trois eaux minérales vosgiennes depuis au moins une quinzaine d'années. Une « convention de revitalisation » avec Nestlé dans les Vosges Dans un autre registre, la préfecture des Vosges a annoncé mardi dernier la signature d'une « convention de revitalisation » avec Nestlé, qui devra verser 813.000 euros pour « promouvoir l'émergence de nouvelles activités », après un plan de suppression de 171 postes en 2023. Gros pourvoyeur d'emplois dans le bassin de Vittel-Contrexéville, où elle comptait encore 721 salariés avant son plan social, l'entreprise Nestlé Waters a été assujettie « à son obligation de revitalisation » du territoire, a indiqué la préfecture dans un communiqué. Cette obligation, inscrite dans le Code du travail pour les groupes de plus de 1.000 salariés qui procèdent à un licenciement collectif, s'applique en complément des mesures d'accompagnement prises pour les salariés licenciés, rappelle la préfecture. Elle doit permettre de créer « de nouveaux emplois en remplacement de ceux supprimés ». (Avec AFP)"
Eaux en bouteilles : des pratiques trompeuses à grande échelle,Stéphane Foucart,2024-01-31,"Vittel, Contrex, Hépar, Perrier, St-Yorre… Réputées les plus pures et vitrines de la France à l’étranger, les plus grandes marques d’eau en bouteille ont reçu depuis de nombreuses années des traitements non conformes à la réglementation, notamment en raison de contaminations sporadiques d’origine bactérienne ou chimique. Autorisées sur l’eau du robinet ou sur les « eaux rendues potables par traitements », ces techniques de purification sont interdites sur les « eaux de source » ou « eaux minérales naturelles ». Celles-ci sont, en effet, censées provenir de ressources souterraines préservées et ne doivent ainsi pas subir de désinfection. L’enquête conduite conjointement, depuis plusieurs mois, par la cellule investigation de Radio France et Le Monde met au jour l’utilisation généralisée de tels traitements non conformes, avec des millions de consommateurs non informés voire floués depuis de nombreuses années, et des milliers d’emplois en jeu dans toute la France. Selon nos informations, un tiers au moins des marques françaises d’eau de source et d’eau minérale auraient été, ou seraient encore, en délicatesse avec la réglementation. Informé depuis août 2021 des pratiques illicites du groupe Nestlé Waters (Vittel, Hépar, Perrier, etc.), le gouvernement a, jusqu’à présent, tenté de gérer la crise avec la plus grande discrétion. L’affaire a été suivie au plus haut niveau, avec la décision prise, le 22 février 2023, au terme d’une réunion interministérielle, d’assouplir la réglementation par voie d’arrêtés préfectoraux. Et ce, afin d’autoriser des pratiques de microfiltration réputées jusqu’ici non conformes et de permettre ainsi la poursuite de l’exploitation de plusieurs sites. La conformité de ces assouplissements réglementaires à la loi européenne est toutefois sujette à caution. Selon nos informations, la France n’a informé de la situation ni la Commission européenne ni les Etats membres, comme elle était supposée le faire en vertu de la directive 2009-54-CE. Interrogée à la mi-janvier par écrit, Nestlé Waters – dont la totalité des marques étaient concernées – n’a répondu aux sollicitations du Monde et de Radio France que le dimanche 28 janvier. Sachant que l’information serait rendue publique, la firme a préféré prendre les devants pour reconnaître ses pratiques du passé, en les édulcorant, lundi, dans Les Echos . « Il y a eu des erreurs, conduisant à des enjeux de conformité , a déclaré au quotidien économique Muriel Lienau, présidente de Nestlé Waters. Tout en garantissant la sécurité alimentaire, nous avons utilisé des mesures de protection qui n’étaient pas en ligne avec le cadre réglementaire ou avec son interprétation. » La firme invoque la nécessité « de surmonter l’impact du dérèglement climatique et la montée du stress hydrique qui affectaient en partie la minéralité de ses eaux » , jamais la présence de bactéries ou de métabolites de pesticides dans ses eaux brutes. Selon nos informations, des problèmes récurrents ou saisonniers de contamination de certains puitspar des bactéries coliformes – « issues de contaminations fécales » , lit-on dans une note confidentielle de l’administration – ont pourtant été délibérément cachés aux autorités. Ce sont eux qui ont conduit Nestlé Waters à appliquer des traitements non conformes à ses eaux en bouteille : la microfiltration au-dessous du seuil de 0,8 micron (µm), des traitements ultraviolets (UV), l’utilisation de charbons actifs… Des techniques de purification permises sur l’eau du robinet, vendue plus de 100 fois moins cher en moyenne que l’eau minérale. L’étendue du problème va bien au-delà des eaux commercialisées par l’entreprise suisse. Dans un rapport remis au gouvernement en juillet 2022, l’inspection générale des affaires sociales (IGAS) estime que 30 % des marques françaises ont recours à des traitements non conformes – sans que les raisons qui poussent les industriels à les mettre en œuvre soient toujours élucidées. Le rapport, que Radio France et Le Monde ont pu consulter, a été soumis à un secret quasi absolu. Il a très peu circulé à l’IGAS et dans les administrations impliquées, de peur de le voir fuiter – plusieurs sources interrogées invoquent un « important risque médiatique » en cas de divulgation du texte. Et pour cause. « La mission n’a pas de doute sur le fait que la proportion de 30 % [des dénominations commerciales concernées] sous-estime le phénomène et que l’ensemble des minéraliers soient concernés » , y lit-on. Pratiques « frauduleuses » L’affaire commence fin 2020, comme un polar. Un ancien employé de la société Alma (Cristalline, St-Yorre, Chateldon, Vichy Célestins…) signale à la direction générale de la concurrence, du commerce et de la répression des fraudes (DGCCRF) des pratiques suspectes dans une usine du groupe. Une enquête administrative est lancée et, le 10 décembre 2020, les usines sont perquisitionnées par le service national des enquêtes de la DGCCRF, comme le rapporte le quotidien La Montagne , à l’époque. Une note des enquêteurs liste de nombreuses pratiques identifiées sur place, qu’ils qualifient de « frauduleuses » : « mélanges d’eaux non autorisés de plusieurs sources exploitées par une même usine » , mélanges occasionnels avec « l’eau du réseau » – c’est-à-dire celle du robinet –, « adjonction de gaz carbonique industriel dans des eaux minérales dites “naturellement gazeuses” » , « traitements non autorisés pour prévenir ou traiter les contaminations épisodiques survenant à la source » , « injection de sulfate de fer » , « utilisation de filtres à charbons actifs en grains » , des « pratiques de microfiltration non autorisées » , la désinfection de l’eau à l’ozone et la « filtration de l’eau aux UV » . « Nous n’utilisons aucun traitement non conforme sur aucune des marques Alma » , assure, de son côté, la société à Radio France et au Monde , dans son bref message du 29 janvier. Les enquêteurs notent que certaines pratiques leur paraissent conçues pour être soustraites au regard des agents chargés des contrôles : le filtrage aux UV « se fait par l’usage de boîtiers mobiles installés aux forages ou en cours de production, pour désinfecter de manière dissimulée une eau de source ou une eau minérale naturelle » … En juillet 2021, le parquet de Cusset (Allier) reçoit un volumineux signalement de la DGCCRF, au titre de l’article 40 du code de procédure pénale, qui impose à toute administration ou tout agent de l’Etat de dénoncer tout crime ou délit qui viendrait à sa connaissance. Interrogé, le procureur de la République, Eric Neveu, assure qu’il décidera dans les prochaines semaines de l’orientation pénale qu’il entend donner à ce dossier « complexe et très technique » . Certaines découvertes, lit-on dans la note de la DGCCRF, conduisent les agents « à élargir [leur] enquête aux pratiques de microfiltration des acteurs du secteur » , les enquêteurs « soupçonnant une mise en œuvre généralisée » . Selon nos informations, c’est une perquisition chez l’un des fournisseurs de microfiltres utilisés dans les usines d’Alma qui fait naître le soupçon d’un usage généralisé de ces dispositifs : le fichier clients du fournisseur en question liste un grand nombre de minéraliers opérant sur le territoire national. Et, en particulier, Nestlé Waters. Un fournisseur de microfiltres, dont Radio France et Le Monde n’ont pu déterminer l’identité, a-t-il prévenu ses clients que la DGCCRF était, de son fait, informée de leurs pratiques ? Toujours est-il que, quelques semaines plus tard, les dirigeants de Nestlé Waters prennent les devants et sollicitent spontanément une rencontre avec le cabinet d’Agnès Pannier-Runacher, alors ministre déléguée chargée de l’industrie. Rendez-vous est pris le 31 août 2021 : les dirigeants de la multinationale suisse avouent ex abrupto utiliser, sur tous leurs sites de conditionnement, des traitements illicites pour purifier leurs eaux minérales naturelles. Au cours de la rencontre, Nestlé demande la possibilité de maintenir certains de ces traitements interdits et plaide pour une évolution de la réglementation en vigueur, en particulier s’agissant de la microfiltration. Faute de quoi Nestlé estime que l’exploitation de certains sites – dans les Vosges (Contrex, Vittel, Hépar) et dans le Gard (Perrier) – pourrait être abandonnée. Plusieurs milliers d’emplois sont en jeu. Que faire ? Le 19 novembre 2021, Bruno Le Maire (ministre de l’économie), Olivier Véran (alors ministre de la santé) et Agnès Pannier-Runacher saisissent l’IGAS d’une mission d’inspection des usines de conditionnement d’eaux minérales naturelles et d’eaux de source installées sur le territoire national, avec l’aide des agences régionales de santé (ARS). Au cours de leurs inspections, et grâce aux découvertes des agents de la DGCCRF, les enquêteurs de certaines ARS disent avoir été délibérément trompés lors de contrôles des usines Nestlé. Plusieurs documents internes à différentes administrations, que Radio France et Le Monde ont pu consulter, évoquent des filtres dissimulés dans des armoires électriques, des contrôles sanitaires sur les eaux brutes faussés par des mesures opérées après passages par des traitements à base d’UV et de charbons actifs, etc. Simples questionnaires Rendu en juillet 2022, le rapport de l’IGAS ne fait pas mystère des entorses à la réglementation et des manœuvres de dissimulation de certains embouteilleurs, même s’il le suggère en termes policés. Dans l’une des usines contrôlées, les inspecteurs écrivent que, « malgré une implication régulière des services de contrôle, ces pratiques [non autorisées] n’avaient pas été décelées » . « D’une part, des traitements non conformes sont utilisés dans les quatre usines du groupe [Nestlé Waters] : microfiltration en deçà de 0,8 µm, mais aussi charbon actif et ultraviolet dont l’interdiction est absolue, ne laissant place à aucune interprétation , notent les rapporteurs de l’IGAS. Mais, surtout et d’autre part, les points de prélèvement utilisés pour qualifier la qualité de la ressource brute (à l’émergence) ont été délibérément positionnés après ces traitements non autorisés. » La volonté de dissimulation dénoncée par les inspecteurs est d’autant plus problématique qu’une part importante du rapport de l’IGAS repose sur de simples questionnaires déclaratifs adressés aux industriels, dont les réponses n’ont pas forcément été validées par des contrôles. Et, quand bien même de tels contrôles ont été menés, le rapport rappelle que l’exercice est particulièrement ardu. Une usine de conditionnement peut renfermer plus de 50 kilomètres de tuyauteries et « les dispositifs de traitement sont parfois très discrets, le plus souvent sous des carters en inox, s’agissant des dispositifs de filtration » . Face à cette complexité, l’Etat s’est progressivement désarmé, notent les inspecteurs : au sein des ARS, le nombre d’agents chargés du contrôle des eaux de consommation a chuté de près de 14 % entre 2014 et 2018. A la suite de la découverte de ces entorses à la réglementation sur le site Nestlé des Vosges, l’ARS Grand-Est a saisi le procureur de la République d’Epinal, Frédéric Nahon, qui a ouvert une enquête préliminaire en novembre 2022. Selon le magistrat, « Nestlé a bien eu recours à des systèmes de filtration illégaux, et ses eaux minérales naturelles ont perdu leur statut d’eaux minérales naturelles, cela relève de la tromperie » . Toutes les ARS n’ont pas appliqué de manière identique l’article 40 du code de procédure pénale. En Occitanie, l’ARS, confrontée à une situation semblable à celle de son homologue du Grand-Est, n’a pas saisi le parquet. Selon nos informations, elle s’est montrée sensible aux arguments développés par Nestlé pour maintenir des traitements non conformes sur son site de Vergèze, dans le Gard, d’où est pompée l’eau de Perrier. La procureure de la République de Nîmes, Cécile Gensac, assure n’avoir « jamais entendu parler de la moindre tromperie concernant l’usine Perrier » . Tous les industriels épinglés traitent-ils nécessairement leurs eaux en raison de contaminations ? L’IGAS se garde de tout jugement général. L’inspection explique que ces contaminations peuvent survenir de manière ponctuelle, en cas d’épisode climatique exceptionnel, d’une intervention indésirable non loin d’un forage, ou d’un problème technique dans les installations. Mais elles peuvent aussi être le fruit de « la vulnérabilité naturelle de la ressource, de sa surexploitation, ou d’un accroissement de la pression anthropique » . De telles pollutions chroniques devraient alors conduire à la fermeture du site, ou au déclassement de l’eau produite, qui ne devrait être commercialisée (à moindre prix) que sous l’appellation « eau rendue potable par traitement » . Exemple espagnol A l’issue du rapport de l’IGAS, tout l’enjeu est précisément celui des traitements acceptables pour produire une « eau minérale naturelle » fortement valorisée. En France, la doctrine réglementaire a été établie par l’Agence française de sécurité sanitaire des aliments (Afssa), l’ancêtre de l’Agence nationale de sécurité sanitaire de l’alimentation, de l’environnement et du travail (Anses). Dans un avis de 2001, l’agence avait estimé que la mise en place de la microfiltration à 0,8 µm est acceptable car elle ne modifie pas le « microbiome » de l’eau – la composition et l’abondance de micro-organismes. En effet, tout processus de désinfection est interdit pour les eaux les plus pures. Or, des microfiltres de maille inférieure à 0,8 µm seraient susceptibles de filtrer bactéries et protozoaires, donc de remplir de facto un rôle de désinfectant… Les 22 et 23 février 2023, au terme d’une réunion interministérielle, le gouvernement biffe d’un trait de plume la doctrine de l’Afssa ; il valide la possibilité, pour les préfets, de prendre des arrêtés autorisant la microfiltration en deçà de 0,8 µm. Interrogé par Radio France et Le Monde , Bercy justifie ce choix en citant un avis de l’Anses rendu en janvier 2023. Dans cet avis, explique-t-on à Bercy, l’agence assure qu’un tel traitement peut être mis en œuvre s’il a pour objectif de retenir certaines particules, mais pas de modifier les caractéristiques microbiologiques de l’eau. Bercy argue enfin de « l’absence de norme interdisant explicitement ce niveau de filtration » et donne l’exemple de l’Espagne, qui autorise la microfiltration de ses eaux minérales naturelles à 0,4 µm. L’exemple n’est pas idéalement choisi. En effet, l’Anses prend aussi soin de préciser en annexe de son avis que son homologue espagnole s’est prononcée sur la question en 2009 et que celle-ci concluait alors « que la filtration avec un seuil de coupure inférieur à 0,4 µm ne peut avoir d’autre but que la désinfection des eaux minérales naturelles » … Il ne faut alors pas craindre le paradoxe, ou le ridicule : au-dessous de ce seuil, en somme, un microfiltre est autorisé s’il ne change pas la composition microbienne de l’eau, mais sa seule utilité est, précisément, de la changer. Reste que la réglementation européenne n’est, de fait, pas harmonisée entre les Etats membres, et l’IGAS préconise de porter au niveau communautaire une demande de réforme. Selon nos informations, une telle demande n’a pas encore été formulée par la France à la Commission européenne. « Plan de retour à la normale » Ce n’est pas tout : dans son rapport, l’IGAS met en garde contre un défaut de maîtrise des risques sanitaires, en cas de retrait des traitements UV et des charbons actifs et du maintien de la seule microfiltration. Selon l’inspection, si « globalement » le « niveau de conformité est élevé sur les eaux en bouteille, il ne serait pas prudent de conclure à la parfaite maîtrise du risque sanitaire, notamment du risque microbiologique » . En particulier, si la microfiltration peut arrêter certaines bactéries pathogènes, elle ne peut rien contre les virus, bien plus petits. Et une eau biologiquement active – par exemple contaminée par des germes – est susceptible de contenir des virus. « En clair, la mise en place d’une filtration à 0,2 µm sur des eaux non conformes pourrait exposer les consommateurs à un risque en lien avec l’ingestion de virus qui ne seraient pas retenus par le filtre » , lit-on dans le rapport de l’IGAS. Comme Bercy, les inspecteurs prennent l’Espagne en exemple, mais à front renversé. En avril 2016, rappellent-ils, une épidémie de gastro-entérite s’est déclarée en Catalogne, touchant plus de 4 000 personnes, dont six ont dû être hospitalisées. Son origine était la contamination, par des eaux usées, d’un aquifère dans lequel était prélevée de l’eau de source : un norovirus pathogène avait échappé à la microfiltration et s’était retrouvé dans les bouteilles. L’actualité scientifique permet aussi de renverser la perspective : la microfiltration et les traitements de l’eau en bouteille peuvent aussi être, en eux-mêmes, des sources de risques sanitaires peu évalués. Début janvier, une équipe de chercheurs de l’université Columbia, à New York, proposait dans la revue Proceedings of the National Academy of Sciences ( PNAS ), une méthode pour quantifier et caractériser les microparticules et nanoparticules plastiques dans l’eau. Testée sur trois marques d’eau en bouteille, leur technique mettait en évidence une forte présence de nanoparticules de polyamide – de l’ordre de 100 000 par litre – sur certaines marques. Les auteurs suggèrent que cette contamination, qui n’avait jamais pu être mesurée jusqu’à présent, pourrait provenir des microfiltres utilisés en amont de l’embouteillage. Dans Les Echos , Nestlé Waters explique avoir dû se résigner à cesser l’exploitation de deux émergences, dans les Vosges, alimentant la marque Hépar. Et un quart des puits exploités par la société à Vergèze seront désormais dévolus à la production d’eau aromatisée, qui sera commercialisée sans le label « Eau minérale naturelle ». Cette nouvelle marque (Maison Perrier) pourrait permettre au site de retrouver ses niveaux historiques de production, l’arrêt de certains traitements ayant, selon Les Echos , fait passer la production annuelle de 1,7 milliard de bouteilles à 1,2 milliard de bouteilles par an. Les inspecteurs de l’IGAS, eux, attendent de voir. Ils écrivent que « Nestlé Waters a annoncé le déploiement d’un plan de retour à la normale, mais il n’est pas certain que la dégradation de la qualité de la ressource puisse être jugulée » . « Les travaux de mise en conformité, réalisés par Nestlé Waters, sont en cours, et suivis de près par les ARS » , dit-on à Bercy. p"
